"price";"from";"to";"image";"company";"url";"departure_date"
782.0;" Paraíba ";" Belém ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/belem-cidade-velha-para.jpg ";" Azul ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=10-05-2017&Data=10-05-2017&Destino=BEL&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=JPA&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-05-10"
1528.0;" Brasília ";" San Andres ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/san-andres-ilha-de-providencia-colombia.jpg ";" Avianca ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=11-08-2017&Data=18-08-2017&Destino=ADZ&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=ADZ&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-08-11"
3972.0;" Brasília ";" Auckland ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/auckland-vela-nova-zelandia.jpg ";" LAN ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=14-09-2017&Data=28-09-2017&Destino=AKL&Destino=BSB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Origem=AKL&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&s_cid=passagensimperdiveis_link_independente_bsb_akl&searchtype=Air ";"2017-09-14"
220.0;" Cuiabá ";" Campinas ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/sao-paulo-parque-do-ibirapuera.jpg ";" Gol ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=09-06-2017&Data=19-06-2017&Destino=SAO&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=CGB&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-06-09"
1235.0;" Cuiabá ";" Santiago ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/santiago-vista-cerro-san-cristobal-chile.jpg ";" Latam ";" https://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=11-05-2017&Data=18-05-2017&Destino=SCL&Destino=CGB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=2&NumCHD=0&NumINF=0&Origem=CGB&Origem=SCL&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-05-11"
258.0;" Belo Horizonte ";" Goiânia ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/goiania-parque-vaca-brava-goias.jpg ";" Azul ";" https://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=25-05-2017&Destino=GYN&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BHZ&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=true&searchtype=Air ";"2017-05-25"
367.0;" Brasília ";" Aracaju ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/aracaju-praia-sergipe.jpg ";" Latam ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=29-06-2017&Destino=AJU&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=BSB&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-06-29"
2597.0;" Cuiabá ";" San Francisco ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/sao-francisco-ponte-golden-gate-estados-unidos.jpg ";" Copa  ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=13-09-2017&Data=20-11-2017&Destino=SFO&Destino=CGB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=2&NumCHD=0&NumINF=0&Origem=CGB&Origem=SFO&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-09-13"
2703.0;" Cuiabá ";" Santo Domingo ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/santo-domingo-republica-dominicana.jpg ";" American  ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=05-06-2017&Data=17-06-2017&Destino=SDQ&Destino=CGB&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=CGB&Origem=SDQ&Proximity=&ProximityId=0&RoundTrip=1&SomenteDireto=false&searchtype=Air ";"2017-06-05"
467.0;" Paraíba ";" Belo Horizonte ";" http://ofertas.submarinoviagens.com.br/Marketing/1200x628/belo-horizonte-igreja-sao-francisco-minas-gerais.jpg ";" Gol ";" http://www.submarinoviagens.com.br/travel/resultado-passagens.aspx?Data=31-05-2017&Destino=BHZ&ExecutiveFlight=false&Hora=&Hora=&Multi=false&NumADT=1&NumCHD=0&NumINF=0&Origem=JPA&Proximity=&ProximityId=0&RoundTrip=0&SomenteDireto=false&searchtype=Air ";"2017-05-31"
